标题,品牌,车型,款式,车年份,购车时间,售价,首付,里程,城市
起亚智跑 2021款 Ace 2.0L 挑战版,起亚,起亚智跑,挑战版,2021,2021,8.8,1.76万,4.61万公里,临沂
大众速腾 2015款 1.6L 手自一体 舒适型,大众,大众速腾,手自一体,2015,2016,5.4,1.08万,5.85万公里,东莞
雪铁龙C4世嘉 2016款 1.6L 手动 豪华版,雪铁龙,雪铁龙C4世嘉,豪华版,2016,2016,2.98,0.60万,6.78万公里,宝鸡
本田凌派 2016款 1.8L CVT 舒适版,本田,本田凌派,舒适版,2016,2017,6.06,1.21万,7.50万公里,大同
起亚凯绅 2017款 K4 1.8L 手自一体 GLS Special,起亚,起亚凯绅,GLS,2017,2017,5.4,1.08万,8.57万公里,大同
丰田凯美瑞 2022款 2.0GVP 领先版,丰田,丰田凯美瑞,领先版,2022,2022,13.4,2.68万,4.83万公里,南宁
别克君越 2019款 28T 豪华版,别克,别克君越,豪华版,2019,2020,12.98,2.60万,3.93万公里,苏州
奥迪Q3 2015款 35 TFSI quattro 技术型,奥迪,奥迪Q3,quattro,2015,2016,9.68,1.80万,8.68万公里,天津
大众速腾 2020款 280TSI 双离合 舒适型 国VI,大众,大众速腾,舒适型,2020,2020,9.4,1.88万,6.57万公里,南宁
起亚福瑞迪 2014款 1.6L 手动 GL,起亚,起亚福瑞迪,手动,2014,2015,2.76,0.55万,4.50万公里,宝鸡
哈弗H6 2015款 运动版 1.5T 手动 两驱 精英型,哈弗,哈弗H6,精英型,2015,2015,2.26,0.45万,7.45万公里,海口
本田CR-V 2013款 2.4L 四驱 豪华版,本田,本田CR-V,豪华版,2013,2015,7.68,1.54万,11.65万公里,烟台
起亚K2 2012款 三厢 1.6L 自动 Premium ECO 纪念版,起亚,起亚K2,纪念版,2012,2014,2.88,0.58万,6.30万公里,济南
哈弗H6 Coupe 2019款 1.5GDIT 双离合 两驱 精英版 国VI,哈弗,哈弗H6,国VI,2019,2019,5.6,1.12万,6.47万公里,宝鸡
丰田汉兰达 2018款 2.0T 手自一体 四驱 豪华版 7座 国VI,丰田,丰田汉兰达,国VI,2018,2020,18.5,3.70万,4.26万公里,烟台
长安CS75PLUS 2023款 第三代 1.5T 尊贵型,长安,长安CS75PLUS,1.5T,2023,2023,10.2,2.04万,0.48万公里,太原
斯柯达Yeti 2017款 TSI280 双离合 前行版,斯柯达,斯柯达Yeti,前行版,2017,2017,5.3,1.06万,7.61万公里,宝鸡
长安UNI-V 2022款 1.5T 双离合智慧领航型,长安,长安UNI-V,1.5T,2022,2022,10.0,2.00万,1.14万公里,太原
本田思域 2019款 220TURBO CVT 劲动版 国VI,本田,本田思域,国VI,2019,2021,9.18,1.84万,5.62万公里,宝鸡
奇瑞欧萌达 2022款 1.6T 双离合超维版,奇瑞,奇瑞欧萌达,双离合超维版,2022,2023,8.3,1.66万,0.35万公里,南宁
马自达CX-4 2018款 2.0L 手自一体 两驱 蓝天活力版 国V,马自达,马自达CX-4,国V,2018,2018,7.8,1.56万,5.99万公里,南宁
别克威朗 2017款 三厢 15S 手自一体 进取版,别克,别克威朗,进取版,2017,2017,4.7,0.94万,9.44万公里,济南
捷达VS5 2019款 280TSI 手自一体 悦享型,捷达,捷达VS5,手自一体,2019,2020,6.3,1.26万,1.76万公里,北京
现代瑞纳 2014款 三厢 1.4L GLS AT,现代,现代瑞纳,GLS,2014,2015,3.0,0.60万,6.32万公里,惠州
本田凌派 2016款 1.8L CVT 豪华版,本田,本田凌派,豪华版,2016,2018,6.73,1.35万,7.80万公里,惠州
五菱汽车五菱宏光MINIEV 2021款 马卡龙臻享款 170KM 三元锂,五菱汽车,五菱汽车五菱宏光MINIEV,170KM,2021,2022,2.64,0.53万,1.09万公里,昆明
领克05 2020款 2.0TD 手自一体 四驱 劲Halo,领克,领克05,四驱,2020,2020,11.98,2.40万,5.55万公里,宁波
比亚迪S6 2014款 2.0L 手动 豪华版 5座,比亚迪,比亚迪S6,5座,2014,2016,1.2,0.24万,6.79万公里,唐山
日产轩逸 2021款 经典 1.6XL CVT 豪华版,日产,日产轩逸,豪华版,2021,2021,6.93,1.39万,2.40万公里,惠州
吉利汽车吉利远景X6 2016款 1.3T CVT 豪华版,吉利汽车,吉利汽车吉利远景X6,豪华版,2016,2017,3.36,0.67万,2.02万公里,郑州
吉利汽车吉利帝豪 2021款 UP 1.5L CVT 向上版,吉利汽车,吉利汽车吉利帝豪,向上版,2021,2021,5.88,1.12万,4.39万公里,洛阳
领克03 2022款 2.0T 双离合两驱劲Plus,领克,领克03,2.0T,2022,2022,11.09,2.22万,5.19万公里,济南
丰田凯美瑞 2021款 双擎 2.5HGVP 领先版,丰田,丰田凯美瑞,领先版,2021,2023,16.82,3.36万,1.18万公里,北京
吉利汽车吉利豪越L 2023款 2.0T 尊贵版,吉利汽车,吉利汽车吉利豪越L,尊贵版,2023,2024,12.08,2.42万,百公里内,包头
日产奇骏 2021款 2.0L CVT 两驱 智联舒适版 5座,日产,日产奇骏,5座,2021,2021,12.15,2.43万,3.51万公里,包头
大众威然 2022款 380TSI 尊贵版,大众,大众威然,尊贵版,2022,2022,22.6,4.52万,3.67万公里,武汉
马自达CX-4 2021款 2.0L 手自一体 两驱 蓝天活力版,马自达,马自达CX-4,蓝天活力版,2021,2021,10.09,2.02万,2.41万公里,赣州
吉利汽车吉利星瑞 2023款 2.0T 只此青绿版,吉利汽车,吉利汽车吉利星瑞,只此青绿版,2023,2023,11.28,2.26万,0.95万公里,赣州
红旗HS5 2022款 2.0T 手自一体 四驱 智联旗享版,红旗,红旗HS5,智联旗享版,2022,2022,13.3,2.66万,3.30万公里,大连
五菱汽车五菱缤果 2023款 203km 轻享款,五菱汽车,五菱汽车五菱缤果,203km,2023,2023,4.5,0.90万,1.47万公里,沈阳
一汽-大众CC 2021款 380TSI 夺目版30周年纪念版,大众,一汽-大众CC,夺目版30周年纪念版,2021,2021,18.4,3.68万,2.07万公里,上海
宝马5系 2020款 525Li 豪华套装,宝马,宝马5系,525Li,2020,2020,28.8,5.76万,2.19万公里,邯郸
东风风光风光ix5 2019款 220T CVT 智悦版 国VI,东风风光,东风风光风光ix5,国VI,2019,2019,3.9,0.78万,6.95万公里,惠州
长安UNI-T 2020款 1.5T 双离合 尊贵型,长安,长安UNI-T,双离合,2020,2020,8.48,1.70万,3.47万公里,宁波
五菱汽车五菱宏光V 2019款 1.5L 手动 劲享版 国VI,五菱汽车,五菱汽车五菱宏光V,国VI,2019,2021,4.18,0.84万,1.50万公里,成都
欧拉好猫 2021款 401km 标准续航 维纳斯版 磷酸铁锂,欧拉,欧拉好猫,磷酸铁锂,2021,2022,7.86,1.57万,1.91万公里,重庆
五菱汽车五菱宏光S 2019款 五菱宏光 1.5L S标准型国VI LAR,五菱汽车,五菱汽车五菱宏光S,S标准型国VI,2019,2021,4.18,0.84万,1.92万公里,宁波
丰田YARiS L 致炫 2016款 改款 1.5E CVT魅动版,丰田,丰田YARiS,CVT魅动版,2016,2018,4.5,0.90万,3.71万公里,呼和浩特
鸿蒙智行问界M7 2022款 1.5T 230km 后驱舒适版,鸿蒙智行,鸿蒙智行问界M7,后驱舒适版,2022,2023,20.18,4.04万,1.50万公里,兰州
丰田亚洲龙 2022款 双擎 2.5L E-CVT 豪华版,丰田,丰田亚洲龙,豪华版,2022,2022,18.44,3.40万,2.96万公里,南京
启辰大V 2022款 260T 双离合 黑马版·爱豆,启辰,启辰大V,黑马版·爱豆,2022,2022,9.5,1.90万,3.28万公里,银川
宝马5系 2022款 改款 525Li M运动套装,宝马,宝马5系,525Li,2022,2022,33.58,6.72万,3.63万公里,太原
长安锐程CC 2021款 1.5T 双离合 豪华蓝鲸型,长安,长安锐程CC,双离合,2021,2020,5.98,1.20万,5.50万公里,南宁
鸿蒙智行问界M5 2023款 纯电版 602km 后驱智驾版,鸿蒙智行,鸿蒙智行问界M5,后驱智驾版,2023,2024,20.2,4.04万,0.15万公里,太原
本田飞度 2021款 1.5L 潮跑版,本田,本田飞度,潮跑版,2021,2021,6.88,1.38万,4.35万公里,济宁
红旗HS5 2022款 改款 2.0T 手自一体 两驱 智联旗享版,红旗,红旗HS5,智联旗享版,2022,2022,12.68,2.54万,2.29万公里,威海
吉利几何E萤火虫 2023款 320km 乖帅虎 5座,吉利几何,吉利几何E萤火虫,乖帅虎,2023,2023,5.2,1.04万,3.57万公里,南宁
别克君越 2019款 28T Avenir,别克,别克君越,28T,2019,2020,14.68,2.94万,8.24万公里,潍坊
现代伊兰特 2021款 1.5L GLX精英版,现代,现代伊兰特,GLX精英版,2021,2021,6.69,1.34万,6.85万公里,惠州
特斯拉Model 3 2021款 标准续航后驱升级版 3D6,特斯拉,特斯拉Model,3D6,2021,2021,15.4,3.08万,2.90万公里,郑州
大众高尔夫 2018款 230TSI 双离合 豪华版,大众,大众高尔夫,豪华版,2018,2018,8.18,1.64万,8.55万公里,临沂
埃安AION Y 2023款 Plus 510km 510 智领版 磷酸铁锂,埃安,埃安AION,磷酸铁锂,2023,2024,10.84,2.17万,0.18万公里,重庆
丰田RAV4荣放 2016款 2.0L CVT 两驱 风尚版 国V,丰田,丰田RAV4荣放,国V,2016,2017,9.3,1.86万,3.60万公里,赣州
丰田凌尚 2021款 2.0L 豪华版,丰田,丰田凌尚,豪华版,2021,2022,8.58,1.72万,1.33万公里,潍坊
大众Polo 2018款 1.5L 手动 安驾版,大众,大众Polo,安驾版,2018,2019,3.98,0.80万,4.58万公里,襄阳
福特蒙迪欧 2017款 2.0T 自动 EcoBoost 200 时尚型 改款,福特,福特蒙迪欧,时尚型,2017,2018,8.6,1.72万,7.95万公里,合肥
宝马X3 2021款 xDrive 28i 豪华套装,宝马,宝马X3,28i,2021,2020,29.68,4.80万,6.78万公里,沈阳
奔驰E级 2015款 E 260 L 豪华型  轿车,奔驰,奔驰E级,,2015,2015,14.3,2.86万,6.88万公里,杭州
丰田卡罗拉锐放 2022款 2.0L CVT 豪华版,丰田,丰田卡罗拉锐放,豪华版,2022,2022,10.68,2.04万,2.36万公里,沈阳
比亚迪汉 2020款 DM 2.0TI 双离合 四驱 性能版豪华型,比亚迪,比亚迪汉,性能版豪华型,2020,2020,12.0,2.40万,3.20万公里,惠州
吉利汽车吉利ICON 2023款 1.5T 巧克力醇臻版,吉利汽车,吉利汽车吉利ICON,巧克力醇臻版,2023,2023,9.948,1.99万,0.21万公里,重庆
北京BJ40 2023款 刀锋英雄版 2.0T 自动四驱侠客版 柴油,北京,北京BJ40,柴油,2023,2023,15.66,3.13万,2.61万公里,福州
大众宝来 2012款 1.6L 自动 时尚超值版,大众,大众宝来,时尚超值版,2012,2012,1.9,0.38万,13.61万公里,杭州
日产骐达 2016款 1.6L CVT 酷动版,日产,日产骐达,酷动版,2016,2018,6.28,1.26万,2.79万公里,郑州
五菱汽车五菱宏光MINIEV 2022款 120km 轻松款 磷酸铁锂,五菱汽车,五菱汽车五菱宏光MINIEV,轻松款,2022,2022,2.38,0.48万,0.71万公里,潍坊
雪佛兰迈锐宝XL 2021款 Redline 550T 手自一体 锐联版,雪佛兰,雪佛兰迈锐宝XL,锐联版,2021,2021,10.78,2.16万,3.06万公里,郑州
魏牌VV5 2021款 1.5T 双离合 颜先锋,魏牌,魏牌VV5,双离合,2021,2021,7.1,1.42万,1.63万公里,哈尔滨
长安CS75 2020款 280T 双离合 两驱 尊贵型 国VI,长安,长安CS75,尊贵型,2020,2020,6.3,1.26万,7.85万公里,哈尔滨
坦克300 2021款 越野版 2.0T 挑战者,坦克,坦克300,挑战者,2021,2022,17.4,3.48万,3.64万公里,哈尔滨
日产天籁 2016款 2.0XE 时尚版,日产,日产天籁,时尚版,2016,2018,6.3,1.26万,8.90万公里,哈尔滨
比亚迪秦PLUS新能源 2021款 EV 400km 豪华型,比亚迪,比亚迪秦PLUS新能源,400km,2021,2022,8.4,1.68万,1.08万公里,哈尔滨
铃木雨燕 2016款 酷玩版 1.5L 手动 时尚版,铃木,铃木雨燕,时尚版,2016,2017,2.85,0.57万,8.95万公里,哈尔滨
魏牌蓝山 DHT PHEV 2023款 1.5T 180km 四驱超长续航版,魏牌,魏牌蓝山,四驱超长续航版,2023,2023,23.4,4.68万,0.59万公里,哈尔滨
别克昂科威 2018款 28T 手自一体 四驱 精英版 国V,别克,别克昂科威,国V,2018,2018,10.098,2.02万,6.43万公里,呼和浩特
福特福克斯 2017款 两厢 1.6L 双离合 舒适型智行版,福特,福特福克斯,舒适型智行版,2017,2017,4.3,0.86万,6.83万公里,唐山
丰田雷凌 2021款 185T CVT 运动版,丰田,丰田雷凌,运动版,2021,2021,7.0,1.40万,2.71万公里,襄阳
领克06 PHEV 2023款 Remix 1.5T 62km Shero,领克,领克06,62km,2023,2023,12.68,2.54万,0.40万公里,重庆
思皓花仙子 2022款 花仙子款 306km 四叶草,思皓,思皓花仙子,306km,2022,2022,4.78,0.94万,4.23万公里,郑州
埃安AION Y 2021款 70 智领活力版,埃安,埃安AION,智领活力版,2021,2021,8.68,1.74万,5.03万公里,天津
丰田RAV4荣放 2020款 2.0L CVT 两驱 都市版,丰田,丰田RAV4荣放,都市版,2020,2020,11.3,2.26万,7.53万公里,淄博
日产轩逸 2021款 经典 1.6XE CVT 舒适版,日产,日产轩逸,舒适版,2021,2021,5.7,1.14万,2.28万公里,唐山
福特锐界 2021款 PLUS EcoBoost 245 两驱精锐型 5座,福特,福特锐界,两驱精锐型,2021,2021,15.4,3.08万,2.34万公里,哈尔滨
荣威RX5 MAX 2020款 300TGI 手自一体 智驾健康舱版,荣威,荣威RX5,智驾健康舱版,2020,2021,8.28,1.66万,3.30万公里,许昌
长安UNI-V 2022款 1.5T 双离合尊贵型,长安,长安UNI-V,1.5T,2022,2023,10.092,2.02万,1.22万公里,重庆
起亚智跑 2019款 加强款 2.0L 手自一体 两驱 智享豪华版,起亚,起亚智跑,智享豪华版,2019,2021,8.38,1.68万,8.61万公里,柳州
大众探歌 2022款 280TSI R-Line Pro PLUS版,大众,大众探歌,PLUS版,2022,2023,12.33,2.47万,1.27万公里,郑州
长安UNI-T 2022款 运动版 1.5T 双离合尊贵型,长安,长安UNI-T,双离合尊贵型,2022,2022,8.8,1.76万,2.00万公里,福州
本田飞度 2018款 1.5L CVT 舒适天窗版,本田,本田飞度,舒适天窗版,2018,2018,5.47,1.09万,7.75万公里,银川
领克08 2023款 1.5T 120km 两驱长续航Halo,领克,领克08,120km,2023,2024,18.58,3.72万,0.33万公里,海口
荣威科莱威CLEVER 2021款 302km 新四座超能版,荣威,荣威科莱威CLEVER,新四座超能版,2021,2021,3.5,0.70万,4.03万公里,柳州
奔驰GLB 2020款 GLB 180 动感型,奔驰,奔驰GLB,180,2020,2020,17.9,3.58万,3.49万公里,临沂
大众途锐 2019款 2.0TSI 锐翼版 国V,大众,大众途锐,国V,2019,2019,30.0,6.00万,5.74万公里,福州
坦克300 2021款 越野版 2.0T 征服者,坦克,坦克300,征服者,2021,2022,17.2,3.44万,3.38万公里,青岛
现代ix35 2019款 2.0L 手自一体 两驱 智勇·畅享版 国V,现代,现代ix35,国V,2019,2020,7.8,1.56万,3.76万公里,青岛
哈弗H2s 2017款 蓝标 1.5T 双离合 精英版,哈弗,哈弗H2s,精英版,2017,2017,4.092,0.82万,5.75万公里,郑州
奥迪A6L 2018款 30周年纪念版 TFSI 进取版,奥迪,奥迪A6L,进取版,2018,2018,19.28,3.86万,6.18万公里,西安
本田CR-V 2021款 240TURBO CVT 两驱 都市版,本田,本田CR-V,都市版,2021,2021,13.9,2.78万,3.03万公里,许昌
现代名图 2014款 1.8L 自动 尊贵型,现代,现代名图,自动,2014,2015,4.8,0.96万,6.24万公里,许昌
奔驰C级 2023款 改款 C 260 L,奔驰,奔驰C级,260,2023,2023,28.6,5.72万,0.68万公里,南京
吉利汽车吉利缤瑞 2020款 1.4T CVT 亚运版,吉利汽车,吉利汽车吉利缤瑞,亚运版,2020,2020,5.45,1.09万,3.11万公里,西安
荣威RX5 MAX 2020款 300TGI 手自一体 智驾健康舱版,荣威,荣威RX5,智驾健康舱版,2020,2021,8.28,1.66万,1.75万公里,许昌
奥迪Q5L 2022款 改款 40 TFSI 豪华动感型,奥迪,奥迪Q5L,TFSI,2022,2023,30.0,6.00万,3.12万公里,昆明
雪佛兰科沃兹 2020款 改款 Redline 325T 手自一体 欣尚版,雪佛兰,雪佛兰科沃兹,欣尚版,2020,2020,4.98,1.00万,3.47万公里,东莞
斯柯达明锐 2016款 1.6L 自动创行版,斯柯达,斯柯达明锐,自动创行版,2016,2016,4.7,0.94万,5.66万公里,潍坊
奇瑞瑞虎7 2022款 超能版 1.5T CVT超能勇士,奇瑞,奇瑞瑞虎7,CVT超能勇士,2022,2022,7.1,1.42万,1.89万公里,大同
马自达3 昂克赛拉 2019款 云控版 三厢 1.5L 手自一体 豪华型 国VI,马自达,马自达3,国VI,2019,2019,7.24,1.45万,4.51万公里,潍坊
本田凌派 2019款 180Turbo CVT豪华版 国VI,本田,本田凌派,国VI,2019,2019,4.98,1.00万,4.80万公里,深圳
别克昂科威 2017款 28T 双离合 四驱 豪华版,别克,别克昂科威,豪华版,2017,2017,9.18,1.84万,6.76万公里,潍坊
鸿蒙智行问界M7 2024款 1.5T 240km 后驱PLUS版 5座,鸿蒙智行,鸿蒙智行问界M7,5座,2024,2023,22.2,4.44万,0.85万公里,石家庄
日产骐达 2011款 1.6 XL CVT 智能版,日产,日产骐达,智能版,2011,2013,3.78,0.76万,8.60万公里,潍坊
大众Tiguan 2019款 330TSI 四驱 创睿版,大众,大众Tiguan,创睿版,2019,2019,11.4,2.28万,5.54万公里,西宁
现代悦动 2018款 1.6L 手自一体 悦目版 国VI,现代,现代悦动,国VI,2018,2020,5.1,1.02万,3.02万公里,唐山
奇瑞瑞虎7 PLUS 2023款 冠军版 1.5T CVT非凡版,奇瑞,奇瑞瑞虎7,CVT非凡版,2023,2023,9.18,1.84万,0.50万公里,银川
荣威RX5 MAX 2022款 1.5T 有为尊贵版,荣威,荣威RX5,有为尊贵版,2022,2022,8.57,1.71万,2.22万公里,苏州
宝马X3 2020款 xDrive 28i M运动套装,宝马,宝马X3,28i,2020,2020,25.128,5.03万,6.73万公里,合肥
别克英朗 2015款 15N 手动 进取型,别克,别克英朗,手动,2015,2015,2.4,0.48万,8.99万公里,济南
众泰T500 2018款 1.5T 手自一体 智能互联尊贵版,众泰,众泰T500,智能互联尊贵版,2018,2019,3.68,0.74万,9.58万公里,乌鲁木齐
日产奇骏 2014款 2.0L CVT 舒适版 两驱,日产,日产奇骏,两驱,2014,2016,7.8,1.56万,8.33万公里,昆明
起亚K3 2020款 1.5L CVT 新锐天窗版,起亚,起亚K3,新锐天窗版,2020,2020,5.8,1.16万,3.88万公里,北京
林肯MKC 2019款 2.0T 手自一体 两驱 尊雅版 国VI,林肯,林肯MKC,国VI,2019,2019,11.4,2.28万,4.80万公里,贵阳
坦克300 2023款 越野版 2.0T 征服者,坦克,坦克300,征服者,2023,2022,19.46,3.89万,2.56万公里,上海
哈弗H9 2017款 2.0T 手自一体 四驱 豪华版 7座 柴油,哈弗,哈弗H9,柴油,2017,2019,14.5,2.90万,7.39万公里,银川
哪吒汽车哪吒V 2022款 潮 400 Lite,哪吒汽车,哪吒汽车哪吒V,400,2022,2022,6.38,1.28万,3.38万公里,海口
别克昂科威 2021款 532T 两驱 精英型,别克,别克昂科威,两驱,2021,2021,11.58,2.32万,3.16万公里,许昌
坦克300 2021款 城市版 2.0T 我看型,坦克,坦克300,我看型,2021,2022,18.3,3.66万,2.43万公里,大同
别克英朗 2021款 改款 典范 1.5L 自动精英型,别克,别克英朗,1.5L,2021,2022,6.3,1.26万,1.84万公里,武汉
丰田YARiS L 致炫 2016款 改款 1.5E CVT魅动版,丰田,丰田YARiS,CVT魅动版,2016,2019,4.98,1.00万,7.41万公里,沈阳
雪佛兰迈锐宝 2017款 1.5T 手自一体 豪华版,雪佛兰,雪佛兰迈锐宝,豪华版,2017,2017,5.58,1.12万,4.31万公里,北京
本田凌派 2013款 1.8L 自动 舒适版,本田,本田凌派,舒适版,2013,2014,3.8,0.76万,9.32万公里,北京
大众桑塔纳 2019款 1.5L 手动 风尚版 国VI,大众,大众桑塔纳,国VI,2019,2021,4.48,0.90万,4.23万公里,唐山
MINI COUNTRYMAN 2011款 1.6L COOPER Fun,MINI,MINI,COOPER,2011,2013,6.58,1.32万,9.59万公里,北京
魏牌VV7 2019款 升级款 2.0T 超豪版 国V,魏牌,魏牌VV7,国V,2019,2019,8.0,1.60万,2.46万公里,哈尔滨
坦克300 2024款 2.0T 征服者,坦克,坦克300,2.0T,2024,2023,20.1,4.02万,0.55万公里,北京
比亚迪宋PLUS新能源 2021款 DM-i 1.5L 两驱旗舰型,比亚迪,比亚迪宋PLUS新能源,1.5L,2021,2022,10.06,2.01万,6.82万公里,佛山
吉利汽车吉利缤瑞 2024款 缤瑞COOL 1.5T 冠军版,吉利汽车,吉利汽车吉利缤瑞,冠军版,2024,2024,7.18,1.44万,0.36万公里,杭州
特斯拉Model Y 2023款 688km 长续航全轮驱动版,特斯拉,特斯拉Model,长续航全轮驱动版,2023,2023,26.99,5.40万,1.34万公里,乌鲁木齐
奥迪A3 2020款 Sportback 35 TFSI 进取型,奥迪,奥迪A3,TFSI,2020,2020,9.98,2.00万,6.35万公里,沈阳
比亚迪宋MAX 2021款 升级版 1.5TI 双离合 尊贵型 7座 国VI,比亚迪,比亚迪宋MAX,国VI,2021,2020,6.88,1.38万,6.19万公里,济宁
领克06 2020款 1.5T 科技先锋版,领克,领克06,科技先锋版,2020,2020,8.6,1.72万,2.39万公里,绍兴
起亚K3 2019款 1.5L CVT 新锐版,起亚,起亚K3,新锐版,2019,2020,5.98,1.20万,6.90万公里,济宁
广汽传祺传祺GS4 PLUS 2022款 390T 星际版,广汽传祺,广汽传祺传祺GS4,星际版,2022,2023,10.9,2.18万,0.05万公里,绍兴
凯迪拉克CT5 2021款 28T 铂金运动型,凯迪拉克,凯迪拉克CT5,28T,2021,2021,20.6,4.12万,3.18万公里,合肥
别克君威 2019款 20T 尊贵版 国V,别克,别克君威,国V,2019,2019,9.0,1.80万,7.27万公里,绍兴
别克君威 2019款 20T 尊贵版 国VI,别克,别克君威,国VI,2019,2020,9.9,1.98万,5.55万公里,绍兴
奥迪A4L 2023款 40 TFSI 时尚致雅型,奥迪,奥迪A4L,TFSI,2023,2023,24.6,4.92万,0.93万公里,贵阳
马自达3 昂克赛拉 2017款 三厢 1.5L 手自一体 豪华版 国V,马自达,马自达3,国V,2017,2017,5.9,1.18万,6.31万公里,沈阳
奥迪Q3 2017款 30 TFSI 时尚版,奥迪,奥迪Q3,时尚版,2017,2017,9.88,1.87万,7.00万公里,淄博
别克英朗 2021款 改款 典范 1.5L 自动精英型,别克,别克英朗,1.5L,2021,2021,5.9,1.18万,3.28万公里,威海
北京BJ40 2019款 2.3T 手自一体 四驱 环塔冠军版 国VI,北京,北京BJ40,国VI,2019,2019,10.18,2.04万,5.89万公里,海口
别克威朗 2023款 Pro 1.5T 乐享版,别克,别克威朗,乐享版,2023,2024,8.8,1.76万,百公里内,绍兴
日产骐达 2016款 1.6L CVT 智行版,日产,日产骐达,智行版,2016,2017,5.47,1.09万,5.42万公里,沈阳
广汽传祺传祺M8 2020款 领航款 390T 尊享版,广汽传祺,广汽传祺传祺M8,尊享版,2020,2020,13.28,2.66万,4.78万公里,许昌
大众速腾 2018款 180TSI 双离合 臻享版,大众,大众速腾,臻享版,2018,2018,6.68,1.34万,6.96万公里,保定
特斯拉Model 3 2020款 标准续航后轮驱动升级版,特斯拉,特斯拉Model,标准续航后轮驱动升级版,2020,2020,15.88,3.18万,3.92万公里,潍坊
奇瑞瑞虎7 2018款 1.5TCI 双离合 精英版 国V,奇瑞,奇瑞瑞虎7,国V,2018,2017,3.82,0.76万,4.63万公里,合肥
本田皓影 2021款 240TURBO CVT 两驱 幻夜版,本田,本田皓影,幻夜版,2021,2022,15.78,3.16万,3.28万公里,惠州
大众速腾 2019款 200TSI 双离合 舒适型 国VI,大众,大众速腾,舒适型,2019,2020,8.36,1.67万,4.17万公里,潍坊
林肯航海家 2021款 2.0T 四驱尊雅版,林肯,林肯航海家,四驱尊雅版,2021,2021,23.8,4.76万,3.81万公里,商丘
坦克300 2021款 城市版 2.0T 很有型,坦克,坦克300,很有型,2021,2023,19.66,3.93万,2.31万公里,惠州
日产骊威 2013款 1.6XE 手动 舒适版,日产,日产骊威,舒适版,2013,2015,3.0,0.60万,5.17万公里,临沂
本田竞瑞 2017款 1.5L自动 经典版,本田,本田竞瑞,经典版,2017,2017,4.38,0.88万,8.61万公里,惠州
日产轩逸 2019款 1.6XV CVT 智联尊享版 国VI,日产,日产轩逸,国VI,2019,2018,6.58,1.32万,4.92万公里,贵阳
大众迈腾 2023款 200万辆纪念版 280TSI 舒适型,大众,大众迈腾,舒适型,2023,2023,15.9,3.18万,0.16万公里,烟台
别克昂科拉GX 2020款 20T CVT 两驱 豪华型,别克,别克昂科拉GX,两驱,2020,2020,7.16,1.43万,1.93万公里,南京
长安UNI-T 2023款 第二代 运动版 1.5T 旗舰型,长安,长安UNI-T,旗舰型,2023,2023,10.98,2.20万,0.78万公里,惠州
别克君威 2015款 1.6T 手自一体 精英技术版,别克,别克君威,精英技术版,2015,2016,4.92,0.98万,8.12万公里,商丘
大众Polo 2023款 改款 Plus 1.5L 手动纵情乐活版,大众,大众Polo,手动纵情乐活版,2023,2023,5.58,1.12万,1.36万公里,威海
启辰大V 2021款 260T 双离合 天王版,启辰,启辰大V,天王版,2021,2021,7.98,1.60万,2.96万公里,惠州
凯迪拉克XT4 2018款 28T 两驱 领先版,凯迪拉克,凯迪拉克XT4,领先版,2018,2019,13.98,2.80万,2.22万公里,沈阳
名爵MG6 2021款 PRO 1.5T Trophy旗舰版,名爵,名爵MG6,Trophy旗舰版,2021,2022,7.78,1.56万,1.07万公里,沈阳
捷达VS7 2020款 280TSI 手自一体 悦享型,捷达,捷达VS7,手自一体,2020,2021,7.48,1.50万,6.34万公里,北京
奔驰CLA级 2017款 改款 CLA 200 时尚版,奔驰,奔驰CLA级,时尚版,2017,2017,13.4,2.68万,5.13万公里,福州
大众甲壳虫 2018款 180TSI 宜乐版,大众,大众甲壳虫,宜乐版,2018,2018,10.58,2.12万,6.19万公里,沈阳
丰田雷凌 2014款 1.6G CVT 精英版,丰田,丰田雷凌,精英版,2014,2015,4.5,0.90万,7.95万公里,沈阳
长安CS75PLUS 2023款 第三代 1.5T 尊贵型,长安,长安CS75PLUS,1.5T,2023,2023,10.68,2.14万,3.05万公里,惠州
吉利汽车吉利博越 2018款 1.8TD 手自一体 两驱 智慧型4G互联版,吉利汽车,吉利汽车吉利博越,智慧型4G互联版,2018,2019,5.5,1.10万,10.07万公里,福州
雷克萨斯ES 2020款 200 卓越版,雷克萨斯,雷克萨斯ES,卓越版,2020,2020,20.7,4.14万,4.31万公里,沈阳
魏牌VV5 2020款 1.5T 双离合 颜先锋,魏牌,魏牌VV5,双离合,2020,2021,7.38,1.48万,8.22万公里,临沂
宝马5系 2019款 525Li M运动套装,宝马,宝马5系,525Li,2019,2019,25.57,5.11万,7.48万公里,合肥
沃尔沃V40 2013款 V40 智逸版,沃尔沃,沃尔沃V40,智逸版,2013,2013,5.5,1.10万,9.43万公里,天津
别克昂科威 2020款 20T 双离合 两驱 精英版,别克,别克昂科威,精英版,2020,2020,10.4,2.08万,7.25万公里,银川
哈弗大狗 2021款 2.0T 两驱中华猎犬版,哈弗,哈弗大狗,两驱中华猎犬版,2021,2021,10.28,2.06万,6.42万公里,银川
别克君威 2020款 552T 精英型,别克,别克君威,552T,2020,2020,10.42,1.88万,4.13万公里,南昌
